Q,CG,CGK,M1,M2
161,-301.2085836,-338.217756,-301.6915069,-335.7917801
162,-301.0943818,-336.5884952,-301.6915069,-335.7917801
163,-301.0196333,-336.4957799,-301.6915069,-335.7917801
164,-300.9229062,-336.4445967,-301.6915069,-335.7917801
165,-300.875498,-338.4927873,-301.6915069,-335.7917801
166,-300.8214913,-335.7135006,-301.6915069,-335.7917801
167,-300.7196434,-330.8502353,-301.6915069,-335.7917801
168,-300.6229709,-329.4932813,-301.6915069,-335.7917801
169,-300.5412183,-330.8256188,-301.6915069,-335.7917801
170,-300.4854638,-330.9613911,-301.6915069,-335.7917801
171,-300.4366197,-329.7137684,-301.6915069,-335.7917801
172,-300.3673278,-329.5193387,-301.6915069,-335.7917801
173,-300.3007259,-329.6495931,-301.6915069,-335.7917801
174,-300.2602041,-328.5084007,-301.6915069,-335.7917801
175,-300.1895746,-328.2091343,-301.6915069,-335.7917801
176,-300.0881896,-328.2989076,-301.6915069,-335.7917801
177,-300.0162895,-325.3210389,-301.6915069,-335.7917801
178,-299.9627184,-325.4874796,-301.6915069,-335.7917801
179,-299.8421851,-324.6657059,-301.6915069,-335.7917801
180,-299.7601996,-322.5121226,-301.6915069,-335.7917801
181,-299.6747391,-327.4274938,-301.6915069,-335.7917801
182,-299.6373862,-327.7371749,-301.6915069,-335.7917801
183,-299.6158784,-327.8488715,-301.6915069,-335.7917801
184,-299.5745859,-328.0266172,-301.6915069,-335.7917801
185,-299.4367638,-328.132752,-301.6915069,-335.7917801
186,-299.3480388,-327.9550063,-301.6915069,-335.7917801
187,-299.2754517,-327.7376489,-301.6915069,-335.7917801
188,-299.2445381,-326.998408,-301.6915069,-335.7917801
189,-299.1913136,-324.8878074,-301.6915069,-335.7917801
190,-299.1322903,-327.6780308,-301.6915069,-335.7917801
191,-299.0769876,-330.2002612,-301.6915069,-335.7917801
192,-299.0345051,-329.489804,-301.6915069,-335.7917801
193,-298.9438799,-328.1366128,-301.6915069,-335.7917801
194,-298.9177147,-327.3991437,-301.6915069,-335.7917801
195,-298.9055855,-327.5712471,-301.6915069,-335.7917801
196,-298.8655296,-329.5042115,-301.6915069,-335.7917801
197,-298.8329785,-326.6444823,-301.6915069,-335.7917801
198,-298.8012785,-326.673277,-301.6915069,-335.7917801
199,-298.7584216,-327.0658555,-301.6915069,-335.7917801
200,-298.7216967,-325.9189479,-301.6915069,-335.7917801
201,-298.7019051,-327.6353777,-301.6915069,-335.7917801
202,-298.6860865,-327.6353777,-301.6915069,-335.7917801
203,-298.6634712,-334.079287,-301.6915069,-335.7917801
204,-298.6328483,-333.4731435,-301.6915069,-335.7917801
205,-298.5860252,-333.4731435,-301.6915069,-335.7917801
206,-298.5553021,-328.1707716,-301.6915069,-335.7917801
207,-298.496834,-326.9751174,-301.6915069,-335.7917801
208,-298.4759597,-328.8523553,-301.6915069,-335.7917801
209,-298.4644422,-327.7336151,-301.6915069,-335.7917801
210,-298.4199362,-324.6072398,-301.6915069,-335.7917801
211,-298.3808763,-324.8698036,-301.6915069,-335.7917801
212,-298.3612098,-329.2197671,-301.6915069,-335.7917801
213,-298.3260897,-329.1185608,-301.6915069,-335.7917801
214,-298.2683365,-331.6718331,-301.6915069,-335.7917801
215,-298.2291021,-330.5603144,-301.6915069,-335.7917801
216,-298.2116711,-331.3783121,-301.6915069,-335.7917801
217,-298.1747199,-327.2278569,-301.6915069,-335.7917801
218,-298.1298347,-327.7451333,-301.6915069,-335.7917801
219,-298.106968,-327.8187899,-301.6915069,-335.7917801
220,-298.0673992,-327.842661,-301.6915069,-335.7917801
221,-298.039214,-327.2327728,-301.6915069,-335.7917801
222,-298.0028133,-327.8781649,-301.6915069,-335.7917801
223,-297.9686544,-327.3381569,-301.6915069,-335.7917801
224,-297.9467266,-323.1090695,-301.6915069,-335.7917801
225,-297.9192871,-324.2481896,-301.6915069,-335.7917801
226,-297.8967527,-324.4167338,-301.6915069,-335.7917801
227,-297.8864971,-322.3462031,-301.6915069,-335.7917801
228,-297.8747697,-321.9733358,-301.6915069,-335.7917801
229,-297.829794,-321.9733358,-301.6915069,-335.7917801
230,-297.8257218,-323.5048691,-301.6915069,-335.7917801
231,-297.8115952,-325.3917162,-301.6915069,-335.7917801
232,-297.793139,-324.6376186,-301.6915069,-335.7917801
233,-297.771214,-324.6376186,-301.6915069,-335.7917801
234,-297.7474052,-324.3973199,-301.6915069,-335.7917801
235,-297.7377003,-324.8656227,-301.6915069,-335.7917801
236,-297.7260156,-325.3326751,-301.6915069,-335.7917801
237,-297.7120653,-325.7988888,-301.6915069,-335.7917801
238,-297.6604971,-325.6903011,-301.6915069,-335.7917801
239,-297.6535622,-320.8530521,-301.6915069,-335.7917801
240,-297.6435836,-324.7979923,-301.6915069,-335.7917801
241,-297.6385415,-320.7532219,-301.6915069,-335.7917801
242,-297.6362587,-320.7532219,-301.6915069,-335.7917801
243,-297.5920869,-320.9494404,-301.6915069,-335.7917801
244,-297.5849952,-323.3004479,-301.6915069,-335.7917801
245,-297.5749003,-319.1630498,-301.6915069,-335.7917801
246,-297.5667073,-323.5403975,-301.6915069,-335.7917801
247,-297.560013,-323.736616,-301.6915069,-335.7917801
248,-297.5580074,-324.0976878,-301.6915069,-335.7917801
249,-297.5526455,-324.4074189,-301.6915069,-335.7917801
250,-297.5497325,-323.6261523,-301.6915069,-335.7917801
251,-297.5467574,-323.4340263,-301.6915069,-335.7917801
252,-297.5406304,-323.1242952,-301.6915069,-335.7917801
253,-297.5245051,-323.1242952,-301.6915069,-335.7917801
254,-297.5177076,-323.3355599,-301.6915069,-335.7917801
255,-297.5076428,-322.5364936,-301.6915069,-335.7917801
256,-297.5020096,-322.3115816,-301.6915069,-335.7917801
257,-297.5006777,-322.6213127,-301.6915069,-335.7917801
258,-297.4961296,-319.9507043,-301.6915069,-335.7917801
259,-297.4926071,-319.9507043,-301.6915069,-335.7917801
260,-297.4869063,-324.6861357,-301.6915069,-335.7917801
