i, 5, maxT, 5, method, 1, obj, -635.815505032, running time, 1.94077587128, 
i, 5, maxT, 5, method, 2, obj, -653.963015073, running time, 1.82545185089, 
i, 5, maxT, 5, method, relaxed, obj, -545.546228318, running time, 0.155468940735, 
i, 5, maxT, 6, method, 1, obj, -635.874385384, running time, 2.10930109024, 
i, 5, maxT, 6, method, 2, obj, -653.076272334, running time, 1.79988384247, 
i, 5, maxT, 6, method, relaxed, obj, -545.546228318, running time, 0.186137914658, 
i, 5, maxT, 7, method, 1, obj, -635.815505032, running time, 1.80543589592, 
i, 5, maxT, 7, method, 2, obj, -652.179124353, running time, 1.69415092468, 
i, 5, maxT, 7, method, relaxed, obj, -545.546228318, running time, 0.149210929871, 
i, 5, maxT, 8, method, 1, obj, -635.874385384, running time, 3.9979300499, 
i, 5, maxT, 8, method, 2, obj, -653.642703646, running time, 1.69447684288, 
i, 5, maxT, 8, method, relaxed, obj, -545.546228318, running time, 0.132774829865, 
i, 5, maxT, 9, method, 1, obj, -636.047565664, running time, 1.88587093353, 
i, 5, maxT, 9, method, 2, obj, -651.011853508, running time, 1.88142991066, 
i, 5, maxT, 9, method, relaxed, obj, -545.546228318, running time, 0.127821922302, 
i, 5, maxT, 10, method, 1, obj, -635.963373624, running time, 3.069865942, 
i, 5, maxT, 10, method, 2, obj, -650.40687013, running time, 1.58106994629, 
i, 5, maxT, 10, method, relaxed, obj, -545.546228318, running time, 0.165665149689, 
i, 6, maxT, 1, method, 1, obj, -1070.32180933, running time, 0.65150308609, 
i, 6, maxT, 1, method, 2, obj, -1126.24313224, running time, 1.15237116814, 
i, 6, maxT, 1, method, relaxed, obj, -651.56445262, running time, 0.125319004059, 
i, 6, maxT, 2, method, 1, obj, -807.691310655, running time, 2.55563616753, 
i, 6, maxT, 2, method, 2, obj, -896.757724909, running time, 1.73313808441, 
i, 6, maxT, 2, method, relaxed, obj, -651.56445262, running time, 0.137598991394, 
i, 6, maxT, 3, method, 1, obj, -779.255730276, running time, 5.2288620472, 
i, 6, maxT, 3, method, 2, obj, -822.809715271, running time, 1.76172089577, 
i, 6, maxT, 3, method, relaxed, obj, -651.56445262, running time, 0.117588043213, 
i, 6, maxT, 4, method, 1, obj, -771.868427864, running time, 3.10108709335, 
i, 6, maxT, 4, method, 2, obj, -808.812742568, running time, 1.50526499748, 
i, 6, maxT, 4, method, relaxed, obj, -651.56445262, running time, 0.123716115952, 
i, 6, maxT, 5, method, 1, obj, -771.868427864, running time, 1.6215441227, 
i, 6, maxT, 5, method, 2, obj, -805.118421152, running time, 1.86500597, 
i, 6, maxT, 5, method, relaxed, obj, -651.56445262, running time, 0.128587007523, 
i, 6, maxT, 6, method, 1, obj, -771.868427864, running time, 2.74972486496, 
i, 6, maxT, 6, method, 2, obj, -805.118421152, running time, 1.61261105537, 
i, 6, maxT, 6, method, relaxed, obj, -651.56445262, running time, 0.171120882034, 
i, 6, maxT, 7, method, 1, obj, -773.366320442, running time, 1.42555379868, 
i, 6, maxT, 7, method, 2, obj, -807.642688041, running time, 1.69746899605, 
i, 6, maxT, 7, method, relaxed, obj, -651.56445262, running time, 0.136825799942, 
i, 6, maxT, 8, method, 1, obj, -773.865617968, running time, 1.24785518646, 
i, 6, maxT, 8, method, 2, obj, -805.118421152, running time, 1.6345911026, 
i, 6, maxT, 8, method, relaxed, obj, -651.56445262, running time, 0.105705976486, 
i, 6, maxT, 9, method, 1, obj, -773.865617968, running time, 1.54752206802, 
i, 6, maxT, 9, method, 2, obj, -805.118421152, running time, 1.33695483208, 
i, 6, maxT, 9, method, relaxed, obj, -651.56445262, running time, 0.137466907501, 
i, 6, maxT, 10, method, 1, obj, -772.065778438, running time, 1.62720513344, 
i, 6, maxT, 10, method, 2, obj, -805.118421152, running time, 1.47607421875, 
i, 6, maxT, 10, method, relaxed, obj, -651.56445262, running time, 0.145307064056, 
i, 7, maxT, 1, method, 1, obj, -821.82103168, running time, 0.404597997665, 
i, 7, maxT, 1, method, 2, obj, -834.142817247, running time, 1.2583899498, 
i, 7, maxT, 1, method, relaxed, obj, -574.489281432, running time, 0.143805027008, 
i, 7, maxT, 2, method, 1, obj, -649.99707518, running time, 1.33930206299, 
i, 7, maxT, 2, method, 2, obj, -650.616876872, running time, 1.97980690002, 
i, 7, maxT, 2, method, relaxed, obj, -574.489281432, running time, 0.165272951126, 
i, 7, maxT, 3, method, 1, obj, -625.793291326, running time, 3.59966301918, 
i, 7, maxT, 3, method, 2, obj, -628.04263249, running time, 2.03089904785, 
i, 7, maxT, 3, method, relaxed, obj, -574.489281432, running time, 0.151760101318, 
i, 7, maxT, 4, method, 1, obj, -619.720516174, running time, 1.10615801811, 
i, 7, maxT, 4, method, 2, obj, -627.813142707, running time, 1.52002692223, 
i, 7, maxT, 4, method, relaxed, obj, -574.489281432, running time, 0.12445306778, 
i, 7, maxT, 5, method, 1, obj, -622.763500416, running time, 0.866365909576, 
i, 7, maxT, 5, method, 2, obj, -625.158969095, running time, 1.80381608009, 
i, 7, maxT, 5, method, relaxed, obj, -574.489281432, running time, 0.124060153961, 
i, 7, maxT, 6, method, 1, obj, -621.331101937, running time, 0.935698032379, 
i, 7, maxT, 6, method, 2, obj, -622.836874542, running time, 1.58503890038, 
i, 7, maxT, 6, method, relaxed, obj, -574.489281432, running time, 0.163244962692, 
i, 7, maxT, 7, method, 1, obj, -619.720516174, running time, 0.976741075516, 
i, 7, maxT, 7, method, 2, obj, -624.7167811, running time, 1.54593110085, 
i, 7, maxT, 7, method, relaxed, obj, -574.489281432, running time, 0.14232301712, 
i, 7, maxT, 8, method, 1, obj, -621.331101937, running time, 0.875675916672, 
i, 7, maxT, 8, method, 2, obj, -625.059287206, running time, 1.61888790131, 
i, 7, maxT, 8, method, relaxed, obj, -574.489281432, running time, 0.186352968216, 
i, 7, maxT, 9, method, 1, obj, -619.6962473, running time, 0.882158041, 
i, 7, maxT, 9, method, 2, obj, -625.065808996, running time, 1.65719509125, 
i, 7, maxT, 9, method, relaxed, obj, -574.489281432, running time, 0.144213914871, 
i, 7, maxT, 10, method, 1, obj, -623.333532126, running time, 0.971663951874, 
i, 7, maxT, 10, method, 2, obj, -624.614729263, running time, 1.75562906265, 
i, 7, maxT, 10, method, relaxed, obj, -574.489281432, running time, 0.128901958466, 
i, 8, maxT, 1, method, 1, obj, -1292.01066326, running time, 0.462604045868, 
i, 8, maxT, 1, method, 2, obj, -1825.0, running time, 1.17270994186, 
i, 8, maxT, 1, method, relaxed, obj, -874.30543995, running time, 0.151195049286, 
i, 8, maxT, 2, method, 1, obj, -1155.94629981, running time, 8.77178502083, 
i, 8, maxT, 2, method, 2, obj, -1480.55849513, running time, 3.21464204788, 
i, 8, maxT, 2, method, relaxed, obj, -874.30543995, running time, 0.165498018265, 
i, 8, maxT, 3, method, 1, obj, -1024.19557911, running time, 5.85699295998, 
i, 8, maxT, 3, method, 2, obj, -1445.10723589, running time, 2.46185779572, 
i, 8, maxT, 3, method, relaxed, obj, -874.30543995, running time, 0.150808811188, 
i, 8, maxT, 4, method, 1, obj, -1007.80803946, running time, 5.65420484543, 
i, 8, maxT, 4, method, 2, obj, -1429.4256654, running time, 2.09822201729, 
i, 8, maxT, 4, method, relaxed, obj, -874.30543995, running time, 0.141408920288, 
i, 8, maxT, 5, method, 1, obj, -1007.1413966, running time, 7.84675002098, 
i, 8, maxT, 5, method, 2, obj, -1422.80210049, running time, 2.20343708992, 
i, 8, maxT, 5, method, relaxed, obj, -874.30543995, running time, 0.12953710556, 
i, 8, maxT, 6, method, 1, obj, -1007.1413966, running time, 3.02037501335, 
i, 8, maxT, 6, method, 2, obj, -1420.810848, running time, 2.92878007889, 
i, 8, maxT, 6, method, relaxed, obj, -874.30543995, running time, 0.19250202179, 
i, 8, maxT, 7, method, 1, obj, -1007.20164371, running time, 4.34550213814, 
i, 8, maxT, 7, method, 2, obj, -1423.77716019, running time, 1.89895296097, 
i, 8, maxT, 7, method, relaxed, obj, -874.30543995, running time, 0.146953105927, 
i, 8, maxT, 8, method, 1, obj, -1010.23358833, running time, 5.13830089569, 
i, 8, maxT, 8, method, 2, obj, -1424.40888092, running time, 2.36073613167, 
